,num_itr,sup_err
163,407,5.8962603094299404e-05
164,408,5.8962603094299404e-05
165,409,5.8962603094299404e-05
166,410,5.8962603094299404e-05
167,411,5.8962603094299404e-05
168,412,5.8962603094299404e-05
169,413,5.8962603094299404e-05
170,414,5.8962603094299404e-05
171,415,5.8962603094299404e-05
172,416,5.8962603094299404e-05
173,417,5.8962603094299404e-05
174,418,5.8962603094299404e-05
175,419,5.8962603094299404e-05
176,420,5.8962603094299404e-05
177,421,5.8962603094299404e-05
178,422,5.8962603094299404e-05
179,423,5.8962603094299404e-05
180,424,5.8962603094299404e-05
181,425,5.8962603094299404e-05
182,426,5.8962603094299404e-05
183,427,5.8962603094299404e-05
184,428,5.8962603094299404e-05
185,429,5.8962603094299404e-05
186,430,5.8962603094299404e-05
187,431,5.8962603094299404e-05
188,432,5.8962603094299404e-05
189,433,5.8962603094299404e-05
190,434,5.8962603094299404e-05
191,435,5.8962603094299404e-05
192,436,5.8962603094299404e-05
193,437,5.8962603094299404e-05
194,438,5.8962603094299404e-05
195,439,5.8962603094299404e-05
196,440,5.8962603094299404e-05
197,441,5.8962603094299404e-05
198,442,5.8962603094299404e-05
199,443,5.8962603094299404e-05
200,444,5.8962603094299404e-05
201,445,5.8962603094299404e-05
202,446,5.8962603094299404e-05
203,447,5.8962603094299404e-05
204,448,5.8962603094299404e-05
205,449,5.8962603094299404e-05
206,450,5.8962603094299404e-05
207,451,5.8962603094299404e-05
208,452,5.8962603094299404e-05
209,453,5.8962603094299404e-05
210,454,5.8962603094299404e-05
211,455,5.8962603094299404e-05
212,456,5.8962603094299404e-05
213,457,5.8962603094299404e-05
214,458,5.8962603094299404e-05
215,459,5.8962603094299404e-05
216,460,5.8962603094299404e-05
217,461,5.8962603094299404e-05
218,462,5.8962603094299404e-05
219,463,5.8962603094299404e-05
220,464,5.8962603094299404e-05
221,465,5.8962603094299404e-05
222,466,5.8962603094299404e-05
223,467,5.8962603094299404e-05
224,468,5.8962603094299404e-05
