feature 1,feature 2
0.045941457,0.043345917
0.04624808,0.04363466
0.046555057,0.043923706
0.046862364,0.044213027
0.047169983,0.04450269
0.04747796,0.04479266
0.047786266,0.04508294
0.048094936,0.04537352
0.048403934,0.04566443
0.048713244,0.04595562
0.049022913,0.046247147
0.04933291,0.04653898
0.04964327,0.04683113
0.049953967,0.047123604
0.050265014,0.047416374
0.05057642,0.047709484
0.050888143,0.048002906
0.05120024,0.048296623
0.05151265,0.04859069
0.051825434,0.048885033
0.052138545,0.04917974
0.052451998,0.04947473
0.05276583,0.049770057
0.053079993,0.050065726
0.053394504,0.050361685
0.053709395,0.050657976
0.05402462,0.0509546
0.05434023,0.051251553
0.054656126,0.051548816
0.05497244,0.0518464
0.055289052,0.05214432
0.055606067,0.052442566
0.055923425,0.05274114
0.056241125,0.05304004
0.056559216,0.053339258
0.056877635,0.053638823
0.05719644,0.053938717
0.0575156,0.054238938
0.05783511,0.054539487
0.05815497,0.054840356
0.05847521,0.055141598
0.058795817,0.055443145
0.059116796,0.055745058
0.059438124,0.05604726
0.059759833,0.05634983
0.060081914,0.056652732
0.06040433,0.056955934
0.06072713,0.057259507
0.06105034,0.05756345
0.061373882,0.057867695
0.061697796,0.05817225
0.062022068,0.05847719
0.06234675,0.058782473
0.06267175,0.059088096
0.06299718,0.05939404
0.06332296,0.05970036
0.0636491,0.060007017
0.06397567,0.06031397
0.06430259,0.06062132
0.06462991,0.060929026
0.06495759,0.061237052
0.06528562,0.06154544
0.06561407,0.061854154
0.06594288,0.06216324
0.0662721,0.062472686
0.06660169,0.06278244
0.066931695,0.0630926
0.06726204,0.06340307
0.06759277,0.06371391
0.06792392,0.06402511
0.068255424,0.06433667
0.06858736,0.0646486
0.06891968,0.06496086
0.06925239,0.06527351
0.06958545,0.06558649
0.06991893,0.06589985
0.07025279,0.06621356
0.07058708,0.06652763
0.07092176,0.06684205
0.071256846,0.067156844
0.07159227,0.06747201
0.07192813,0.06778752
0.07226439,0.06810341
0.07260106,0.068419695
0.072938114,0.06873629
0.07327558,0.06905328
0.07361344,0.06937067
0.07395172,0.069688365
0.0742904,0.0700065
0.074629486,0.070324965
0.074968964,0.070643805
0.07530886,0.07096301
0.07564915,0.07128263
0.07598989,0.0716026
0.07633102,0.07192293
0.07667256,0.072243646
0.07701449,0.07256475
0.07735685,0.07288623
0.07769963,0.07320809
0.07804284,0.07353032
0.07838644,0.07385295
0.078730464,0.074175976
0.07907492,0.07449933
0.07941979,0.07482312
0.0797651,0.075147256
0.08011082,0.07547181
0.08045692,0.07579674
0.0808035,0.07612205
0.08115049,0.07644777
0.08149788,0.07677385
0.081845686,0.07710034
0.082194,0.07742719
0.08254266,0.07775446
0.08289182,0.07808213
0.08324138,0.07841019
0.08359136,0.078738645
0.08394176,0.07906747
0.084292635,0.079396725
0.08464393,0.07972637
0.08499566,0.08005639
0.08534782,0.08038685
0.085700415,0.08071767
0.08605345,0.08104894
0.086406946,0.08138056
0.08676086,0.08171262
