losses,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30
0.006675142794847488,0.0012534594,-0.0033794357,-0.0019310031,-0.003436374,-0.0032786313,-0.0016523163,-0.0027449671,-0.003210701,-0.0035890606,-0.0015210148,7.8113866e-05,-0.0026146038,4.299239e-05,-0.002560406,-0.0025241375,0.00031766092,-0.001332287,-0.0011516399,-0.0018727423,4.184264e-05,-0.00033840357,-0.003596732,-0.0021287897,-0.003624421,-0.003395197,-0.0019560899,-0.002729197,-0.0030476279,-0.0036735404,-0.0019327651,-0.0014933327
0.007332568988204002,0.0013798152,-0.0037101523,-0.0021209666,-0.0037725074,-0.003599112,-0.0018131973,-0.00301179,-0.003523501,-0.0039396356,-0.001668893,8.779993e-05,-0.002869302,4.769193e-05,-0.002809437,-0.0027696518,0.00034954865,-0.0014600349,-0.0012618327,-0.002054247,4.720436e-05,-0.00036905575,-0.0039489744,-0.0023386225,-0.0039791306,-0.0037272577,-0.0021480797,-0.0029955567,-0.00334524,-0.0040330403,-0.0021225368,-0.0016388304
0.007988207042217255,0.0015063551,-0.004039592,-0.002310379,-0.0041073146,-0.0039182883,-0.0019733107,-0.0032772585,-0.0038348427,-0.0042887433,-0.0018160269,9.781707e-05,-0.0031228093,5.246103e-05,-0.0030572317,-0.0030139508,0.00038145555,-0.0015868149,-0.0013711473,-0.0022347355,5.2772455e-05,-0.00039914498,-0.00429991,-0.0025479198,-0.004332478,-0.004058001,-0.0023394325,-0.0032607596,-0.0036415919,-0.004391158,-0.0023116926,-0.001783652
0.008642069064080715,0.0016330781,-0.0043677688,-0.0024992442,-0.0044408115,-0.0042361757,-0.002132665,-0.003541384,-0.0041447366,-0.0046363957,-0.001962422,0.00010816278,-0.0033751354,5.729867e-05,-0.003303802,-0.0032570437,0.0004133808,-0.0017126347,-0.001479591,-0.002414214,5.8544898e-05,-0.00042867538,-0.004649544,-0.0027566853,-0.0046844734,-0.004387442,-0.0025301548,-0.0035248147,-0.003936691,-0.004747903,-0.0025002374,-0.0019278033
0.009294163435697556,0.0017599845,-0.004694692,-0.0026875664,-0.004773005,-0.0045527807,-0.0022912645,-0.0038041754,-0.004453196,-0.004982603,-0.0021080854,0.00011883468,-0.00362629,6.220408e-05,-0.0035491574,-0.0034989407,0.00044532365,-0.0018375013,-0.0015871695,-0.0025926912,6.4519765e-05,-0.00045765098,-0.0049978904,-0.0029649246,-0.0050351266,-0.004715588,-0.0027202517,-0.0037877308,-0.0042305514,-0.0051032854,-0.0026881765,-0.002071288
0.009944502264261246,0.0018870742,-0.005020369,-0.0028753509,-0.005103905,-0.0048681153,-0.002449116,-0.004065642,-0.0047602328,-0.0053273756,-0.0022530225,0.00012983028,-0.003876283,6.7176334e-05,-0.0037933076,-0.0037396522,0.00047728326,-0.0019614212,-0.0016938895,-0.002770174,7.0694994e-05,-0.00048607594,-0.005344957,-0.0031726416,-0.005384448,-0.005042449,-0.002909728,-0.004049515,-0.0045231804,-0.005457316,-0.0028755143,-0.0022141137
0.010593097656965256,0.0020143455,-0.005344812,-0.0030626017,-0.005433524,-0.005182188,-0.0026062254,-0.004325798,-0.0050658565,-0.0056707277,-0.0023972392,0.00014114733,-0.004125123,7.2214614e-05,-0.004036261,-0.0039791865,0.0005092587,-0.0020844033,-0.0017997575,-0.002946671,7.70686e-05,-0.00051395455,-0.0056907563,-0.0033798409,-0.0057324506,-0.005368036,-0.0030985894,-0.0043101795,-0.0048145875,-0.0058100065,-0.0030622566,-0.0023562843
0.011239960789680481,0.0021418007,-0.005668031,-0.0032493235,-0.005761872,-0.005495011,-0.002762599,-0.0045846524,-0.0053700795,-0.0060126693,-0.002540741,0.00015278331,-0.004372823,7.731812e-05,-0.0042780326,-0.0042175567,0.0005412495,-0.002206454,-0.00190478,-0.0031221895,8.363863e-05,-0.0005412905,-0.006035298,-0.003586527,-0.0060791434,-0.005692362,-0.0032868416,-0.0045697317,-0.005104784,-0.0061613675,-0.0032484084,-0.0024978057
0.011885098181664944,0.002269438,-0.0059900354,-0.0034355214,-0.006088959,-0.005806595,-0.002918243,-0.0048422143,-0.005672915,-0.0063532135,-0.0026835352,0.00016473595,-0.0046193926,8.248574e-05,-0.00451863,-0.004454773,0.0005732549,-0.002327581,-0.002008963,-0.003296738,9.0402864e-05,-0.00056808814,-0.006378592,-0.003792705,-0.006424539,-0.006015435,-0.0034744893,-0.004828181,-0.005393778,-0.0065114107,-0.003433975,-0.0026386827
0.012528521940112114,0.0023972574,-0.006310836,-0.0036211992,-0.0064147953,-0.006116948,-0.0030731638,-0.0050984947,-0.005974372,-0.0066923713,-0.0028256264,0.00017700295,-0.00486484,8.7716864e-05,-0.004758064,-0.0046908446,0.0006052738,-0.0024477905,-0.0021123136,-0.0034703235,9.735959e-05,-0.00059435127,-0.006720649,-0.0039983774,-0.0067686457,-0.0063372646,-0.0036615387,-0.0050855353,-0.005681581,-0.0068601463,-0.0036189607,-0.0027789199
