num_itr,sup_err_5,sup_err_7,sup_err_9
1340.0,0.0014525055885314,1.2695789337158205e-05,5.513429641723633e-07
1350.0,0.0016485452651977,2.4586915969848636e-05,2.8014183044433594e-06
1360.0,0.0006300806999206,2.181529998779297e-05,8.046627044677734e-07
1370.0,0.0010035037994384,2.9802322387695312e-05,9.5367431640625e-07
1380.0,0.0012418031692504,3.767013549804688e-05,1.043081283569336e-06
1390.0,0.0011575818061828,6.952881813049316e-05,1.1920928955078125e-06
1400.0,0.001946210861206,9.40561294555664e-05,1.4901161193847656e-06
1410.0,0.0017307996749877,0.0001211166381835,1.6689300537109375e-06
1420.0,0.0019287467002868,0.0001316964626312,1.9371509552001953e-06
1430.0,0.0028408765792846,0.0001471638679504,2.3245811462402344e-06
1440.0,0.0040944814682006,0.0001665651798248,2.6226043701171875e-06
1450.0,0.0021603405475616,0.0001837313175201,3.039836883544922e-06
1460.0,0.0032398700714111,0.0001826584339141,3.2186508178710938e-06
1470.0,0.0031111538410186,0.0002001821994781,3.4570693969726562e-06
1480.0,0.0008099973201752,1.5914440155084808e-05,4.470348358154297e-07
1490.0,0.0006711781024932,1.3530254364013672e-05,4.4703483587094084e-07
1500.0,0.0014442503452301,1.895427703857422e-05,3.874301910955502e-07
1510.0,0.0011104643344879,3.084540367126465e-05,1.4603137969970703e-06
1520.0,0.0018373131752014,3.841519355773926e-05,1.6391277313232422e-06
1530.0,0.0021907985210418,4.366040229797363e-05,1.430511474609375e-06
1540.0,0.0007802844047546,6.705522537231445e-05,1.5795230865478516e-06
1550.0,0.001878798007965,8.279085159301758e-05,1.5497207641601562e-06
1560.0,0.0020441114902496,4.988908767700195e-05,2.3990869522094727e-06
1570.0,0.002011090517044,6.303191184997559e-05,2.518296241760254e-06
1580.0,0.0014505684375763,7.233023643493652e-05,2.428889274597168e-06
1590.0,0.0022303014993667,8.249282836914062e-05,2.8908252716064453e-06
1600.0,0.0032622963190078,0.0001086145639419,1.4692544937133789e-05
1610.0,0.0003736615180969,6.4849853515625e-05,1.2576580047607422e-05
1620.0,0.0012613832950592,3.486871719360352e-05,1.1861324310302734e-05
1630.0,0.0024608671665191,5.85019588470459e-05,1.0728836059570312e-06
1640.0,0.0031558573246002,6.16610050201416e-05,1.3113021850585938e-06
1650.0,0.0035924613475799,7.316470146179199e-05,1.5795230865478516e-06
1660.0,0.0017016530036926,2.0742416381835938e-05,8.046627044677734e-07
1670.0,0.0016527771949768,2.7447938919067383e-05,7.45058059747894e-07
1680.0,0.0009263157844543,3.3020973205566406e-05,9.238719940185547e-07
1690.0,0.0004990100860596,4.0844082832336426e-05,1.7285346984863281e-06
1700.0,0.0003447830677032,3.927946090698242e-05,1.6093254089355469e-06
1710.0,0.0002842545509338,4.583597183227539e-05,1.8477439880371094e-06
1720.0,0.000576227903366,3.0249357223510746e-05,8.791685104370117e-07
1730.0,0.0012401044368743,3.366172313690185e-05,1.1026859283447266e-06
1740.0,0.0004247426986694,1.8805265426635746e-05,9.238719940185547e-07
1750.0,0.0004995167255401,2.193450927734375e-05,6.258487702248683e-07
1760.0,0.0009904503822326,5.09023666381836e-05,5.5134296425563e-07
1770.0,0.0016171634197235,7.018446922302246e-05,9.5367431640625e-07
1780.0,0.0006787180900573,4.342198371887207e-05,1.341104507446289e-06
1790.0,0.0007846355438232,3.236532211303711e-05,6.556510925292969e-07
1800.0,0.0010414123535156,3.844499588012695e-05,1.1324882507324219e-06
1810.0,0.0017098486423492,5.379319190979004e-05,1.519918441772461e-06
1820.0,0.0014663934707641,9.387731552124023e-05,2.6226043701171875e-06
1830.0,0.0024022459983825,0.0001287162303924,3.159046173095703e-06
