err_5,lambdas,err_7,err_9
7.112324237829037e-05,0.9667644183773216,7.152557373601987e-07,2.9802322443206464e-08
6.568431854250822e-05,0.9657869012707724,8.94069671658615e-07,5.96046448031462e-08
6.042420864108e-05,0.9648093841642228,9.983778000155483e-07,2.980232241545089e-08
5.556643009191342e-05,0.9638318670576737,1.1920928955633237e-06,5.960464483090178e-08
5.090236663826686e-05,0.9628543499511242,1.3113021851418605e-06,8.326672684688674e-17
4.6506524085998535e-05,0.9618768328445748,1.5348196029663086e-06,5.960464477539063e-08
4.240870475774594e-05,0.9608993157380256,1.698732376154144e-06,4.470348363705412e-08
3.8489699363708496e-05,0.959921798631476,1.8924474716186523e-06,5.960464477539063e-08
3.4838914871243576e-05,0.9589442815249268,1.996755600003341e-06,5.96046448031462e-08
3.141164779668637e-05,0.9579667644183774,2.2500753403265072e-06,8.940696721859709e-08
2.8207898140009124e-05,0.956989247311828,2.399086952264984e-06,2.9802322443206464e-08
2.521276474001799e-05,0.9560117302052786,2.622604370144943e-06,7.450580599699386e-08
2.244114875801784e-05,0.9550342130987292,2.801418304526626e-06,8.940696724635266e-08
1.986324787139893e-05,0.95405669599218,3.0100345611572266e-06,8.940696716308594e-08
1.7404556274469574e-05,0.9530791788856304,3.1590461731512143e-06,5.960464483090178e-08
1.519918441772461e-05,0.9521016617790812,3.337860107421875e-06,5.960464477539063e-08
1.3202428817749023e-05,0.9511241446725318,3.516674041748047e-06,2.9802322387695312e-08
1.138448715209961e-05,0.9501466275659824,3.725290298461914e-06,5.960464477539063e-08
9.745359420776367e-06,0.9491691104594332,3.904104232788086e-06,1.1920928955078125e-07
8.13603401184082e-06,0.9481915933528836,3.993511199951172e-06,2.9802322387695312e-08
6.824731826837738e-06,0.9472140762463344,4.20212745672055e-06,5.960464483090178e-08
5.573034286499024e-06,0.946236559139785,4.380941390991211e-06,8.940696716308594e-08
4.529953002929688e-06,0.9452590420332356,4.500150680541992e-06,5.960464477539063e-08
3.576278686523437e-06,0.9442815249266864,4.619359970092773e-06,5.960464477539063e-08
2.8312206268310547e-06,0.9433040078201368,4.798173904418945e-06,8.940696716308594e-08
2.1457672119695737e-06,0.9423264907135877,4.947185516412933e-06,8.940696721859709e-08
1.5795230866033627e-06,0.9413489736070382,5.006790161188324e-06,5.960464483090178e-08
1.1622905731201172e-06,0.9403714565004888,5.125999450683594e-06,2.9802322387695312e-08
8.642673492431641e-07,0.9393939393939394,5.27501106262207e-06,2.9802322387695312e-08
6.556510925292969e-07,0.93841642228739,5.364418029785156e-06,5.960464477539063e-08
5.662441253662109e-07,0.9374389051808408,5.453824996948242e-06,5.960464477539063e-08
5.364418030340268e-07,0.9364613880742914,5.543231964166839e-06,2.9802322443206464e-08
6.556510925292969e-07,0.935483870967742,5.602836608886719e-06,5.960464477539063e-08
8.344650268554688e-07,0.9345063538611926,5.751848220825195e-06,5.960464477539063e-08
1.0728836059570312e-06,0.9335288367546432,5.7220458984375e-06,2.9802322387695312e-08
1.430511474609375e-06,0.932551319648094,5.811452865600586e-06,0.0
1.877546310424805e-06,0.9315738025415444,5.8710575103759766e-06,2.9802322387695312e-08
2.324581146295745e-06,0.9305962854349952,5.871057510431488e-06,5.551115123125783e-17
3.0100345612127377e-06,0.9296187683284458,5.990266799982269e-06,5.960464483090178e-08
3.546476364135742e-06,0.9286412512218964,5.960464477539063e-06,0.0
4.291534423828125e-06,0.927663734115347,6.020069122314453e-06,0.0
5.0067901611328125e-06,0.9266862170087976,5.990266799926758e-06,2.9802322387695312e-08
5.841255187988281e-06,0.9257086999022482,6.020069122314453e-06,0.0
6.705522537231445e-06,0.9247311827956988,6.079673767089844e-06,2.9802322387695312e-08
7.599592208862305e-06,0.9237536656891496,6.0498714447021484e-06,2.9802322387695312e-08
8.493661880493164e-06,0.9227761485826002,5.990266799926758e-06,0.0
9.566545486505706e-06,0.9217986314760508,5.990266799982269e-06,5.551115123125783e-17
1.0579824447631836e-05,0.9208211143695014,6.020069122314453e-06,2.9802322387695312e-08
1.1652708053588867e-05,0.919843597262952,5.960464477539063e-06,2.9802322387695312e-08
1.2755393981989103e-05,0.9188660801564028,5.960464477594574e-06,5.551115123125783e-17
1.385807991027832e-05,0.9178885630498532,5.8710575103759766e-06,0.0
1.5050172805841644e-05,0.916911045943304,5.841255188043792e-06,5.551115123125783e-17
1.615285873413086e-05,0.9159335288367546,5.811452865600586e-06,0.0
1.7374753952026367e-05,0.9149560117302052,5.7220458984375e-06,0.0
1.8537044525146484e-05,0.913978494623656,5.662441253662109e-06,0.0
1.981854438787289e-05,0.9130009775171064,5.60283660894223e-06,2.9802322443206464e-08
2.104043960571289e-05,0.9120234604105572,5.543231964111328e-06,0.0
2.232193946838379e-05,0.9110459433040078,5.4836273193359375e-06,0.0
2.3484230041503903e-05,0.9100684261974584,5.304813385009766e-06,-2.9802322387695312e-08
2.479553222661801e-05,0.9090909090909092,5.2750110626775815e-06,5.551115123125783e-17
2.610683441162109e-05,0.9081133919843596,5.21540641784668e-06,2.9802322387695312e-08
2.7358531951959808e-05,0.9071358748778104,5.125999450739105e-06,5.551115123125783e-17
2.861022949224301e-05,0.906158357771261,5.006790161188324e-06,5.551115123125783e-17
2.9921531677301605e-05,0.9051808406647116,4.947185516412933e-06,5.960464483090178e-08
3.117322921758481e-05,0.9042033235581622,4.827976226862152e-06,2.9802322443206464e-08
3.248453140258789e-05,0.9032258064516128,4.798173904418945e-06,8.940696716308594e-08
3.37064266204834e-05,0.9022482893450636,4.678964614868164e-06,2.9802322387695312e-08
3.498792648320981e-05,0.9012707722385142,4.529953002985199e-06,5.960464483090178e-08
3.62396240234375e-05,0.9002932551319648,4.410743713378906e-06,5.960464477539063e-08
3.737211227422543e-05,0.8993157380254154,4.321336746271332e-06,2.9802322443206464e-08
3.8623809814453125e-05,0.8983382209188661,4.26173210144043e-06,2.9802322387695312e-08
3.981590270996094e-05,0.8973607038123167,4.082918167114258e-06,2.9802322387695312e-08
4.100799560552426e-05,0.8963831867057673,3.993511200006683e-06,5.960464483090178e-08
4.217028617858887e-05,0.895405669599218,3.874301910400391e-06,2.9802322387695312e-08
4.330277442932129e-05,0.8944281524926686,3.75509262084961e-06,0.0
4.443526268010922e-05,0.8934506353861192,3.6358833313543393e-06,2.9802322443206464e-08
4.553794860845395e-05,0.8924731182795699,3.516674041803558e-06,5.551115123125783e-17
4.664063453674317e-05,0.8914956011730205,3.427267074584961e-06,2.9802322387695312e-08
4.77135181427002e-05,0.8905180840664711,3.337860107421875e-06,5.960464477539063e-08
4.875659942632504e-05,0.8895405669599218,3.218650817926605e-06,5.551115123125783e-17
4.976987838750668e-05,0.8885630498533724,3.0696392059881283e-06,2.9802322443206464e-08
5.075335502624512e-05,0.8875855327468231,2.9802322387695312e-06,8.940696716308594e-08
5.170702934265137e-05,0.8866080156402737,2.8312206268310547e-06,2.9802322387695312e-08
5.260109901428223e-05,0.8856304985337243,2.7418136596679688e-06,0.0
5.355477333068848e-05,0.884652981427175,2.652406692504883e-06,5.960464477539063e-08
5.435943603515625e-05,0.8836754643206256,2.5033950805664062e-06,2.9802322387695312e-08
5.525350570678711e-05,0.8826979472140762,2.443790435791016e-06,5.960464477539063e-08
5.608797073364258e-05,0.8817204301075269,2.3543834686279297e-06,5.960464477539063e-08
5.683302879333496e-05,0.8807429130009775,2.205371856689453e-06,0.0
5.7578086853027344e-05,0.8797653958944281,2.086162567138672e-06,0.0
5.8323144912719727e-05,0.8787878787878788,1.96695327758789e-06,2.9802322387695312e-08
5.909800529485532e-05,0.8778103616813294,1.9371509552557065e-06,5.960464483090178e-08
5.969405174260922e-05,0.8768328445747801,1.7583370209295346e-06,2.9802322443206464e-08
6.04093074798584e-05,0.8758553274682307,1.728534698486328e-06,8.940696716308594e-08
6.0945749282836914e-05,0.8748778103616813,1.5497207641601562e-06,5.960464477539063e-08
6.151199340825864e-05,0.873900293255132,1.4901161194402768e-06,5.960464483090178e-08
6.207823753362485e-05,0.8729227761485826,1.4007091522771908e-06,8.940696721859709e-08
6.252527236944028e-05,0.8719452590420332,1.311302185114105e-06,5.960464483090178e-08
6.303191184997559e-05,0.8709677419354839,1.2218952178955078e-06,5.960464477539063e-08
6.344914436340332e-05,0.8699902248289345,1.132488250732422e-06,2.9802322387695312e-08
6.386637687688657e-05,0.8690127077223851,1.0728836060125424e-06,2.9802322443206464e-08
6.42240047454834e-05,0.8680351906158358,9.83476638793945e-07,8.940696716308594e-08
6.455183029180356e-05,0.8670576735092864,8.642673492986752e-07,-2.980232233218416e-08
6.49094581604559e-05,0.8660801564027371,8.642673492986752e-07,8.940696721859709e-08
6.517767906194516e-05,0.8651026392961877,7.45058059747894e-07,2.9802322443206464e-08
6.532669067388364e-05,0.8641251221896383,6.854534149725033e-07,5.551115123125783e-17
6.562471389776059e-05,0.863147605083089,6.55651092584808e-07,8.940696721859709e-08
6.574392318725586e-05,0.8621700879765396,5.960464477539062e-07,8.940696716308594e-08
6.595253944402524e-05,0.8611925708699902,5.662441254217221e-07,8.940696721859709e-08
6.604194641113281e-05,0.8602150537634409,4.76837158203125e-07,5.960464477539063e-08
6.61313533782959e-05,0.8592375366568915,4.76837158203125e-07,5.960464477539063e-08
6.613135337835141e-05,0.8582600195503421,3.576278687078549e-07,2.9802322443206464e-08
6.61611557006836e-05,0.8572825024437928,3.5762786865234375e-07,8.940696716308594e-08
6.61611557006836e-05,0.8563049853372434,2.980232238769531e-07,2.9802322387695312e-08
6.607174873352051e-05,0.855327468230694,2.086162567138672e-07,2.9802322387695312e-08
6.601214408874512e-05,0.8543499511241447,2.384185791015625e-07,5.960464477539063e-08
6.586313247680664e-05,0.8533724340175953,1.4901161193847656e-07,5.960464477539063e-08
6.577372550969907e-05,0.852394916911046,1.7881393438168305e-07,8.940696721859709e-08
6.55353069305975e-05,0.8514173998044966,1.4901161199398774e-07,5.551115123125783e-17
6.538629531860352e-05,0.8504398826979472,8.940696716308595e-08,2.9802322387695312e-08
6.514787673955746e-05,0.8494623655913979,8.94069672185971e-08,2.9802322443206464e-08
6.48796558380127e-05,0.8484848484848485,1.1920928955078125e-07,8.940696716308594e-08
6.458163261413574e-05,0.8475073313782991,2.9802322387695312e-08,0.0
6.42538070678711e-05,0.8465298142717498,5.960464477539064e-08,0.0
6.395578384404965e-05,0.8455522971652004,2.9802322443206464e-08,5.960464483090178e-08
6.356835365300961e-05,0.844574780058651,8.94069672185971e-08,8.940696721859709e-08
6.318092346191406e-05,0.8435972629521017,0.0,5.960464477539063e-08
6.276369094854184e-05,0.8426197458455523,2.9802322443206464e-08,2.9802322443206464e-08
6.231665611272641e-05,0.841642228739003,5.960464483090179e-08,5.960464483090178e-08
6.186962127685547e-05,0.8406647116324536,5.960464477539064e-08,2.9802322387695312e-08
6.133317947387695e-05,0.8396871945259042,8.940696716308595e-08,5.960464477539063e-08
